index,country,province
0,US,California
1,Spain,Northern Spain
2,US,California
3,US,Oregon
4,France,Provence
5,Spain,Northern Spain
6,Spain,Northern Spain
7,Spain,Northern Spain
8,US,Oregon
9,US,California
10,Italy,Northeastern Italy
11,US,Oregon
12,US,Oregon
13,France,Southwest France
14,US,Oregon
15,US,Oregon
16,US,California
17,Spain,Northern Spain
18,France,Southwest France
19,US,California
20,US,California
21,Spain,Northern Spain
22,Spain,Northern Spain
23,US,California
24,US,California
25,New Zealand,Kumeu
26,US,Oregon
27,US,Oregon
28,US,California
29,US,Washington
30,Bulgaria,Bulgaria
31,US,California
32,Italy,Tuscany
33,France,France Other
34,US,Washington
35,Italy,Tuscany
36,France,Rhône Valley
37,Italy,Tuscany
38,Italy,Tuscany
39,Italy,Tuscany
40,Spain,Galicia
41,Spain,Andalucia
42,US,Idaho
43,Italy,Tuscany
44,France,Rhône Valley
45,Italy,Tuscany
46,Italy,Tuscany
47,US,California
48,Italy,Tuscany
49,US,Washington
50,Italy,Tuscany
51,France,Burgundy
52,France,Loire Valley
53,France,Loire Valley
54,US,California
55,US,Washington
56,France,Loire Valley
57,US,New York
58,US,Washington
59,Italy,Tuscany
60,Argentina,Mendoza Province
61,Australia,Victoria
62,Argentina,Mendoza Province
63,France,Burgundy
64,Portugal,Alentejano
65,US,California
66,France,Burgundy
67,US,California
68,US,Oregon
69,US,California
70,US,California
71,US,California
72,Italy,Piedmont
73,US,Oregon
74,Portugal,Alentejo
75,US,Oregon
76,France,Champagne
77,US,California
78,US,California
79,Italy,Piedmont
80,US,Oregon
81,Israel,Upper Galilee
82,Italy,Piedmont
83,Italy,Piedmont
84,Italy,Piedmont
85,Italy,Piedmont
86,France,Burgundy
87,US,California
88,US,California
89,US,California
90,US,California
91,Portugal,Beira Atlantico
92,Italy,Veneto
93,US,California
94,Portugal,Douro
95,France,Southwest France
96,US,California
97,US,California
98,France,Southwest France
99,France,Southwest France
100,US,California
101,US,California
102,Italy,Tuscany
103,US,California
104,US,California
105,US,Washington
106,US,California
107,US,California
108,US,California
109,US,California
110,Portugal,Tejo
111,Argentina,Mendoza Province
112,US,California
113,US,New York
114,South Africa,Stellenbosch
115,Argentina,Mendoza Province
116,Spain,Levante
117,France,Southwest France
118,France,Southwest France
119,Portugal,Alentejano
120,US,California
121,US,California
122,US,California
123,US,California
124,US,California
125,US,California
126,US,California
127,US,California
128,Spain,Northern Spain
129,Italy,Sicily & Sardinia
130,Italy,Southern Italy
131,US,California
132,US,California
133,US,California
134,US,California
135,US,California
136,US,California
137,US,California
138,Spain,Northern Spain
139,France,Languedoc-Roussillon
140,France,Bordeaux
141,US,California
142,US,California
143,US,Oregon
144,US,California
145,US,California
146,US,California
147,Spain,Galicia
148,US,California
149,US,California
150,US,Oregon
151,Greece,Atalanti Valley
152,Spain,Catalonia
153,Greece,Santorini
154,Greece,Florina
155,Chile,Marchigue
156,France,Southwest France
157,US,Oregon
158,Spain,Northern Spain
159,Chile,Colchagua Valley
160,US,California
161,US,Oregon
162,Spain,Northern Spain
163,US,California
164,US,California
165,US,Oregon
166,Italy,Tuscany
167,Italy,Tuscany
168,Portugal,Douro
169,US,California
170,US,California
171,Chile,Curicó Valley
172,Greece,Nemea
173,US,California
174,France,Rhône Valley
175,Spain,Northern Spain
176,Italy,Tuscany
177,Italy,Tuscany
178,US,California
179,Chile,Maule Valley
180,US,California
181,US,California
182,US,California
183,US,Washington
184,Argentina,Mendoza Province
185,US,Washington
186,US,California
187,US,California
188,Spain,Northern Spain
189,Spain,Catalonia
190,Argentina,Mendoza Province
191,France,Bordeaux
192,France,Bordeaux
193,France,Bordeaux
194,France,Bordeaux
195,France,Bordeaux
196,US,California
197,US,Washington
198,US,New York
199,US,New York
200,US,New York
201,US,New York
202,France,Bordeaux
203,France,Bordeaux
204,US,Washington
205,US,Washington
206,US,Washington
207,US,New York
208,US,Washington
209,Spain,Catalonia
210,Portugal,Douro
211,Italy,Piedmont
212,US,California
213,Italy,Piedmont
214,France,Alsace
215,France,Alsace
216,Morocco,Guerrouane
217,Italy,Piedmont
218,France,Alsace
219,France,Alsace
220,US,Washington
221,US,California
222,France,Alsace
223,US,California
224,Italy,Piedmont
225,France,Bordeaux
226,US,California
227,US,Washington
228,US,California
229,Portugal,Douro
230,US,Washington
231,US,California
232,US,Washington
233,US,Washington
234,Italy,Piedmont
235,France,Alsace
236,France,Alsace
237,France,Alsace
238,Portugal,Alentejano
239,Italy,Piedmont
240,France,Bordeaux
241,France,Bordeaux
242,France,Bordeaux
243,France,Bordeaux
244,France,Bordeaux
245,US,California
246,US,Oregon
247,Romania,Colinele Dobrogei
248,US,California
249,US,California
250,US,California
251,Italy,Piedmont
